forks,stargazers_count,open_issues,size,owner_type,readme_size,num_contrib,commits,year
0,1,0,668,0,11044,1,158,2012
0,1,0,148,0,0,1,14,2011
0,0,0,6560,0,185,1,1,2012
1,0,0,43650,0,0,1,9,2012
1,1,0,276,0,65,1,37,2012
0,1,0,468,0,352,3,95,2011
0,1,0,2348,0,1559,1,143,2010
0,1,0,1226,0,0,1,10,2012
0,0,0,652,0,173,1,30,2012
1,0,0,252,0,1082,1,3,2012
0,1,0,104,0,0,1,4,2011
0,1,1,1896,0,0,1,5,2011
0,0,0,5652,0,74,2,3,2012
0,1,0,104,0,0,1,10,2011
0,0,1,100,0,96,0,0,2012
0,1,0,1284,0,0,2,14,2012
0,1,0,712,0,61,1,2,2011
1,0,0,784,0,0,0,0,2012
0,0,0,280,0,9208,0,0,2012
1,2,0,8407,1,443,3,24,2012
1,8,0,1893,0,1845,2,132,2009
0,1,0,240,0,493,2,22,2010
1,2,0,17383,0,194,1,3,2012
0,2,0,212350,1,1298,3,1241,2011
0,2,0,188,0,10011,1,3,2011
3,2,0,3992,0,929,3,37,2012
1,2,0,99,0,309,1,3,2010
0,1,0,14780,0,233,1,9,2012
0,1,0,244,0,0,0,0,2009
0,0,0,2760,0,1602,1,56,2012
0,0,0,2656,0,8762,1,31,2012
0,0,0,108,0,66,1,3,2012
0,0,0,956,0,0,1,1,2012
1,1,0,10612,0,0,2,50,2011
0,0,0,3124,0,1556,1,45,2012
0,1,6,71562,0,46,1,21,2012
0,1,1,108,0,0,1,2,2011
0,0,0,236,1,1356,0,0,2012
0,0,0,157,0,74,0,0,2012
0,1,0,208,0,0,3,69,2012
0,1,0,172,0,10011,0,0,2009
0,0,0,7436,0,96,1,1,2012
2,3,14,2841,1,710,3,12,2012
0,1,0,239,0,474,2,58,2012
0,1,0,2092,0,68,1,20,2012
0,1,0,1416,0,323,1,84,2011
0,0,0,104,0,242,1,4,2012
0,1,0,132,0,100,0,0,2012
1,1,0,406,0,9126,1,14,2011
0,1,0,1024,0,0,0,0,2010
0,1,1,20,0,0,1,5,2011
0,0,0,168,0,74,1,7,2012
0,1,0,92,0,0,1,21,2009
0,1,0,164,0,0,1,1,2012
0,0,0,17608,0,0,1,1,2012
0,1,0,17260,0,321,0,0,2011
0,1,0,6508,0,7899,1,582,2010
0,5,0,1264,0,0,1,12,2009
3,0,0,3714,0,350,0,0,2012
0,1,0,164,0,0,1,2,2012
0,2,0,248,0,388,1,18,2011
1,0,0,10456,0,0,1,2,2012
0,0,0,3448,0,315,1,47,2012
0,2,0,1840,0,4334,1,31,2011
0,1,0,172,0,5557,1,1,2012
0,1,0,432,0,0,1,3,2010
0,1,0,92,1,80,1,1,2011
1,0,0,252,0,113,2,12,2012
0,0,0,30021,0,343,1,4,2012
1,1,0,31968,0,7,2,73,2012
0,1,0,304,0,588,1,6,2012
0,1,2,12736,1,703,1,31,2011
0,0,0,80,1,2143,3,9,2012
0,3,0,424,0,1867,1,24,2010
1,2,0,5916,0,2095,1,7,2010
1,1,0,210,1,134,2,26,2012
0,1,0,40888,0,518,0,0,2011
0,0,0,1292,0,140,1,3,2012
0,1,0,180,0,9126,1,3,2011
0,1,0,120,0,707,1,12,2012
0,1,0,104,0,78,1,13,2011
0,0,0,4656,0,130,2,15,2012
0,1,0,104,0,301,1,11,2010
0,1,0,212,0,83,0,0,2010
0,1,0,88,0,319,1,1,2012
0,0,0,6888,0,121,3,62,2012
0,0,0,60919,1,326,1,16,2012
0,0,1,100,0,142,0,0,2012
0,1,0,368,0,0,0,0,2012
0,0,0,192,1,720,2,29,2012
0,0,0,484,0,9208,2,9,2012
0,1,0,496,0,0,1,29,2012
1,0,0,142,1,154,2,5,2012
0,1,0,628,0,2581,1,17,2012
0,0,0,5820,0,38,1,20,2012
0,1,0,175,0,4422,1,27,2012
0,1,0,468,0,332,1,4,2012
0,1,0,104,1,100,0,0,2011
0,1,0,644,0,56,1,33,2011
0,0,0,1608,0,105,2,7,2012
1,0,0,6810,0,289,1,20,2011
1,1,0,99,0,300,1,3,2010
0,1,0,1032,0,0,0,0,2010
1,1,0,324,0,678,1,101,2012
1,1,0,2980,0,0,0,0,2011
0,1,0,64144,1,82,1,3,2011
0,1,0,32916,0,0,1,651,2011
0,0,0,26176,0,116,0,0,2012
0,1,0,9196,0,157,1,60,2012
0,1,0,404,0,127,1,34,2012
0,1,0,400,0,1655,2,59,2012
0,0,0,3288,0,99,2,49,2012
0,1,0,1524,0,6900,3,86,2012
0,1,0,36247,0,1374,2,9,2012
0,1,0,1444,0,130,0,0,2012
0,0,0,1972,0,49,1,3,2011
0,0,0,120,0,121,1,1,2012
0,0,0,460,0,92,1,1,2012
0,1,0,196,0,9208,1,21,2012
0,1,0,152,0,9208,1,17,2011
0,1,0,108,0,0,0,0,2010
0,1,0,8,0,1573,1,7,2011
0,1,1,280,0,1488,1,13,2011
1,4,1,284,0,198,3,17,2010
0,1,0,384,0,546,1,85,2011
0,1,0,100,0,0,1,3,2011
0,0,0,108,0,0,1,2,2012
0,0,0,16148,0,876,1,3,2012
0,1,0,1240,0,438,1,57,2010
2,3,0,1710,0,3300,1,8,2012
0,1,0,48600,0,277,2,254,2010
2,0,0,1444,0,452,1,207,2012
6,3,0,612,0,3283,1,23,2010
0,0,0,25640,0,0,1,1,2012
0,0,0,421,1,2113,3,9,2012
0,2,0,176,0,22,1,28,2011
0,1,0,536,0,0,1,1,2012
1,1,0,1655,0,435,2,12,2012
1,0,0,7392,1,388,2,7,2012
0,1,0,348,0,120,2,23,2012
0,5,10,652,0,132,1,2,2012
1,0,0,100,0,0,1,2,2012
0,0,0,50672,0,545,1,2,2012
1,1,0,7783,0,119,1,1,2012
1,0,0,2720,0,8819,1,250,2011
0,0,0,372,1,223,4,45,2012
0,0,0,627560,1,155,3,4,2012
0,0,0,1732,0,259,1,35,2012
0,0,0,3056,0,2411,1,10,2012
0,0,0,71244,0,218,0,0,2012
0,0,0,4736,0,116,2,35,2012
0,0,0,276,0,136,1,2,2012
0,1,0,188,0,0,1,1,2011
0,0,0,220,0,9126,0,0,2012
0,1,0,584,1,364,1,120,2009
0,1,0,4512,0,0,3,41,2012
0,1,0,2184,0,9208,1,67,2011
0,0,0,156,0,210,0,0,2012
1,1,0,89,0,1551,1,2,2012
0,1,0,120,0,9208,1,4,2012
0,0,0,156,0,527,1,9,2012
0,0,0,13592,0,424,1,17,2012
1,1,121,121924,1,1221,2,318,2012
1,0,0,1184,0,722,1,145,2012
0,1,0,156,0,0,0,0,2012
1,0,0,172,0,519,1,5,2012
1,1,0,5532,0,242,1,15,2012
0,1,0,18524,0,535,1,222,2011
0,0,0,416,0,434,1,42,2012
1,5,0,152,0,3503,2,7,2011
0,1,0,3692,0,304,0,0,2012
1,1,0,96,0,0,0,0,2011
0,1,0,340,0,57,1,26,2011
0,1,0,1216,0,2807,1,1,2012
0,0,0,156,0,2778,1,12,2012
342,230,90,56378,1,2607,5,1117,2013
28,5,8,36613,1,671,17,261,2013
32,11,1,163248,1,7277,21,870,2013
25,48,3,236,0,512,1,27,2013
24,22,11,76714,1,14239,10,602,2013
49,65,188,67899,0,4294,6,1573,2013
9,13,10,26302,0,514,1,28,2013
6,18,0,112,1,1222,1,1,2013
7,13,1,1275,0,6032,1,37,2013
6,10,5,688,0,328,1,131,2013
7,2,0,720,0,2796,1,1,2013
4,3,0,4225,1,2027,4,838,2013
2,14,0,338,1,6176,5,42,2013
8,10,1,182,0,2067,2,32,2013
22,11,2,5946406,1,3061,7,1132,2013
4,2,4,14707,0,2543,1,533,2013
9,1,0,116165,0,0,1,1,2013
3,2,0,20819,0,607,1,42,2013
2,4,0,2367,1,425,4,7,2013
2,0,0,747,0,29,1,10,2013
2,4,0,36114,1,2368,3,47,2013
14,0,0,39738,0,0,1,232,2013
5,1,0,8298,0,71,1,20,2013
2,1,0,148,0,111,1,2,2013
9,4,30,3429,0,501,1,90,2013
10,0,0,860,1,290,8,95,2013
0,0,0,136,0,9208,0,0,2013
0,0,0,136,0,9208,1,1,2013
2,6,0,43426,0,2246,1,155,2013
23,18,3,554301,1,2464,5,43,2013
9,2,1,438907,1,3835,26,10191,2013
0,0,0,684,0,0,0,0,2013
2,0,0,1419,0,0,2,5,2013
2,3,0,404,0,668,1,23,2013
2,3,0,6660,0,1511,1,115,2013
0,8,0,12910,1,571,4,192,2013
3,0,8,106,0,229,1,2,2013
0,2,1,340,0,243,1,2,2013
1,2,0,4324983,1,1315,3,184,2013
5,0,0,257,1,137,6,73,2013
3,1,0,173,1,70,0,0,2013
1,0,0,744,0,0,3,22,2013
0,3,3,17576,0,34,2,43,2013
0,0,0,352,0,0,1,4,2013
1,0,0,109,0,329,1,3,2013
0,4,1,227820,1,72,1,4,2013
3,1,0,110640,0,1211,3,16,2013
0,1,0,409,0,83,5,62,2013
3,1,0,6591,0,140,0,0,2013
2,0,0,2801,0,0,3,18,2013
0,1,0,196,0,139,1,7,2013
0,3,0,29802,1,828,2,46,2013
1,0,0,616,0,1710,0,0,2013
2,1,0,1607,0,188,4,93,2013
1,1,0,72864,0,0,1,180,2013
0,1,0,290,1,119,2,14,2013
0,0,0,136,0,9208,1,1,2013
0,0,0,8920,0,41,1,3,2013
0,0,8,11520,1,779,1,106,2013
0,0,0,11796,1,18,2,30,2013
0,0,0,612,0,0,1,3,2013
0,0,2,14380,0,182,1,19,2013
0,0,0,224,0,9126,1,3,2013
1,1,0,48674,0,2835,1,8,2013
0,0,0,14612,0,0,1,4,2013
0,1,1,54852,0,33,1,9,2013
0,0,0,1676,0,0,0,0,2013
0,0,0,116,0,0,1,3,2013
0,0,0,382752,0,220,5,91,2013
0,0,0,816,0,9220,1,24,2013
0,0,0,600,0,6948,1,19,2013
0,0,0,108,0,0,1,4,2013
0,0,0,327,0,865,1,1,2013
0,0,0,3720,0,94,1,35,2013
0,0,0,105,0,36,2,12,2013
0,0,0,316,0,41,1,1,2013
0,1,0,34164,0,0,1,19,2013
0,0,0,8204,0,768,2,42,2013
0,0,0,891,0,1364,7,13,2013
0,0,0,4844,0,0,1,6,2013
2,2,1,1202,0,4461,1,883,2013
1,1,0,17158,0,0,3,172,2013
0,0,0,180,0,2693,1,16,2013
0,0,0,1008,0,1364,7,21,2013
0,0,0,2380,0,0,0,0,2013
0,1,0,344,0,0,2,23,2013
0,0,0,887,0,1364,5,10,2013
0,0,0,428,0,0,0,0,2013
0,0,0,28941,0,0,1,64,2013
0,0,0,148,0,358,1,6,2013
1,0,0,1958,1,104,2,6,2013
0,1,0,25884,0,151,1,129,2013
0,0,0,3370,0,0,1,1,2013
0,0,0,108,0,109,1,2,2013
0,1,0,5695,0,0,3,289,2013
2,3,0,380,1,1463,3,62,2013
1,2,1,9160,1,99,2,20,2013
1,0,0,5408,0,87,1,3,2013
0,0,0,424,1,0,1,7,2013
0,0,0,7004,0,58,2,90,2013
0,1,0,708,0,5026,1,5,2013
0,0,0,16288,0,1787,1,1,2013
0,1,10,2460,1,10276,4,138,2013
0,0,0,176,1,792,1,13,2013
0,0,0,168,0,40,1,2,2013
0,0,0,132,0,99,2,24,2013
